codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
13001,MONTERIA,CORDOBA,Caribe + Magdalena Medio,374004,207008,166996,3075,314,104497,50.47,87885,42.45,4080,-16612,8.019999999999996
31055,FLORIDA,VALLE,Valle del Cauca,54892,31380,23512,475,51,22399,71.37,6025,19.2,649,-16374,52.17
31022,BUGA,VALLE,Valle del Cauca,109762,64729,45033,1188,96,36630,56.58,20612,31.84,2508,-16018,24.74
01035,APARTADO,ANTIOQUIA,Urabá,109813,54380,55433,1389,133,32102,59.03,16661,30.63,1385,-15441,28.400000000000002
11064,PUERTO TEJADA,CAUCA,Pacífico indígena/campesino,35830,21576,14254,358,64,17750,82.26,2387,11.06,241,-15363,71.2
13025,MONTELIBANO,CORDOBA,Caribe + Magdalena Medio,63005,31776,31229,522,57,22618,71.17,7546,23.74,312,-15072,47.43000000000001
11094,TORIBIO,CAUCA,Pacífico indígena/campesino,21550,15554,5996,178,73,14215,91.39,759,4.87,47,-13456,86.52
31049,EL CERRITO,VALLE,Valle del Cauca,56109,31177,24932,500,51,20795,66.69,7562,24.25,678,-13233,42.44
01280,TURBO,ANTIOQUIA,Urabá,99961,43958,56003,1113,162,26437,60.14,13435,30.56,554,-13002,29.580000000000002
64002,PUERTO ASIS,PUTUMAYO,Amazonía,53588,26197,27391,837,131,18004,68.72,5145,19.63,501,-12859,49.09
13013,CIENAGA DE ORO,CORDOBA,Caribe + Magdalena Medio,48770,26400,22370,277,74,18890,71.55,6537,24.76,195,-12353,46.78999999999999
23142,TUQUERRES,NARIÑO,Sur andino Nariño,36133,20286,15847,362,82,15394,75.88,3078,15.17,276,-12316,60.709999999999994
05028,MAGANGUE,BOLIVAR,Caribe + Magdalena Medio,104516,45395,59121,539,117,27393,60.34,15168,33.41,468,-12225,26.930000000000007
11007,BOLIVAR,CAUCA,Pacífico indígena/campesino,29820,17799,12021,494,163,14031,78.83,1848,10.38,69,-12183,68.45
11016,CALDONO,CAUCA,Pacífico indígena/campesino,26334,17127,9207,301,105,13997,81.72,1831,10.69,120,-12166,71.03
21016,CIENAGA,MAGDALENA,Caribe norte,94405,43313,51092,789,70,25967,59.95,14136,32.63,583,-11831,27.32
13010,CERETE,CORDOBA,Caribe + Magdalena Medio,79044,44476,34568,689,89,26771,60.19,14984,33.69,618,-11787,26.5
64001,MOCOA,PUTUMAYO,Amazonía,43380,25001,18379,406,37,17187,68.74,5426,21.7,493,-11761,47.03999999999999
03046,SABANALARGA,ATLANTICO,Caribe norte,76674,39061,37613,393,77,24095,61.68,12642,32.36,491,-11453,29.32
31082,PRADERA,VALLE,Valle del Cauca,42523,23144,19379,430,60,16082,69.48,4855,20.97,494,-11227,48.510000000000005
11025,EL TAMBO,CAUCA,Pacífico indígena/campesino,40574,27492,13082,1331,549,16637,60.51,5627,20.46,371,-11010,40.05
11005,ARGELIA,CAUCA,Pacífico indígena/campesino,22907,15791,7116,762,111,12563,79.55,1575,9.97,119,-10988,69.58
64023,ORITO,PUTUMAYO,Amazonía,31867,15852,16015,223,57,12783,80.63,1925,12.14,215,-10858,68.49
48001,RIOHACHA,LA GUAJIRA,Caribe norte,156388,69900,86488,1277,162,37453,53.58,26917,38.5,1172,-10536,15.079999999999998
05007,ARJONA,BOLIVAR,Caribe + Magdalena Medio,59799,26981,32818,472,97,17814,66.02,7380,27.35,366,-10434,38.669999999999995
64028,VALLE DEL GUAMUEZ (LA HORMIGA),PUTUMAYO,Amazonía,30448,15068,15380,322,63,12120,80.43,1768,11.73,190,-10352,68.7
13022,LORICA,CORDOBA,Caribe + Magdalena Medio,93485,44707,48778,554,79,26216,58.63,15938,35.64,385,-10278,22.990000000000002
21095,ZONA BANANERA (SEVILLA),MAGDALENA,Caribe norte,51263,20309,30954,311,73,14635,72.06,4436,21.84,151,-10199,50.22
23037,CUMBAL,NARIÑO,Sur andino Nariño,26589,16111,10478,255,78,12532,77.78,2485,15.42,147,-10047,62.36
05118,TURBACO,BOLIVAR,Caribe + Magdalena Medio,77424,37755,39669,693,72,22333,59.15,12311,32.6,932,-10022,26.549999999999997
15340,ZIPAQUIRA,CUNDINAMARCA,Bogotá región,113388,83769,29619,1781,73,39011,46.56,29209,34.86,4983,-9802,11.700000000000003
15076,FACATATIVA,CUNDINAMARCA,Bogotá región,104308,72672,31636,1623,81,34701,47.75,24970,34.35,3592,-9731,13.399999999999999
11058,PATIA (EL BORDO),CAUCA,Pacífico indígena/campesino,28400,19132,9268,789,245,12952,67.69,3450,18.03,214,-9502,49.66
11006,BALBOA,CAUCA,Pacífico indígena/campesino,17796,13864,3932,537,145,10892,78.56,1470,10.6,121,-9422,67.96000000000001
11055,PAEZ (BELALCAZAR),CAUCA,Pacífico indígena/campesino,22832,13137,9695,184,61,10711,81.53,1527,11.62,57,-9184,69.91
