codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
27115,JORDAN,SANTANDER,Santanderes rurales,1488,996,492,8,7,105,10.54,717,71.98,9,612,-61.440000000000005
07178,PACHAVITA,BOYACA,Boyacá-Cundi rural,1946,1258,688,23,5,220,17.48,831,66.05,20,611,-48.56999999999999
07184,PAJARITO,BOYACA,Boyacá-Cundi rural,1782,1073,709,7,2,187,17.42,776,72.32,20,589,-54.89999999999999
01062,BRICEÑO,ANTIOQUIA,Antioquia rural uribista,6833,1816,5017,58,22,437,24.06,1022,56.27,62,585,-32.21000000000001
07280,SOMONDOCO,BOYACA,Boyacá-Cundi rural,2880,1704,1176,23,5,436,25.58,1009,59.21,58,573,-33.63
27151,PALMAR,SANTANDER,Santanderes rurales,1620,1036,584,6,0,149,14.38,720,69.49,20,571,-55.10999999999999
27184,SAN JOAQUIN,SANTANDER,Santanderes rurales,2225,1209,1016,17,6,188,15.55,757,62.61,36,569,-47.06
46120,CHAMEZA,CASANARE,Llanos petroleros,1858,1261,597,13,3,267,21.17,835,66.21,21,568,-45.03999999999999
15286,TIBIRITA,CUNDINAMARCA,Bogotá región,3017,1805,1212,18,8,483,26.75,1041,57.67,41,558,-30.92
15133,JERUSALEN,CUNDINAMARCA,Bogotá región,2841,1578,1263,12,4,415,26.29,953,60.39,21,538,-34.1
09067,MARULANDA,CALDAS,Eje cafetero,2359,1152,1207,18,13,129,11.19,661,57.37,20,532,-46.18
88140,CURAZAO,CONSULADOS,Exterior (consulados),2934,1184,1750,12,3,293,24.74,801,67.65,25,508,-42.91000000000001
01007,ABRIAQUI,ANTIOQUIA,Antioquia rural uribista,2029,1077,952,16,2,102,9.47,592,54.96,26,490,-45.49
15205,PULI,CUNDINAMARCA,Bogotá región,2887,1427,1460,21,9,336,23.54,825,57.81,21,489,-34.27
15323,VILLAGOMEZ,CUNDINAMARCA,Bogotá región,2131,1238,893,10,7,300,24.23,784,63.32,20,484,-39.09
27004,AGUADA,SANTANDER,Santanderes rurales,1523,876,647,10,1,110,12.55,563,64.26,4,453,-51.71000000000001
07118,IZA,BOYACA,Boyacá-Cundi rural,2275,1446,829,16,1,373,25.79,826,57.12,50,453,-31.33
07103,GUACAMAYAS,BOYACA,Boyacá-Cundi rural,1553,875,678,11,1,151,17.25,593,67.77,15,442,-50.519999999999996
52025,EL CALVARIO,META,Llanos petroleros,1484,769,715,7,1,87,11.31,527,68.53,20,440,-57.22
07187,PANQUEBA,BOYACA,Boyacá-Cundi rural,1579,880,699,9,3,145,16.47,584,66.36,13,439,-49.89
27073,EL GUACAMAYO,SANTANDER,Santanderes rurales,1635,976,659,9,1,76,7.78,504,51.63,9,428,-43.85
88683,PUERTO RICO,CONSULADOS,Exterior (consulados),2341,1191,1150,4,0,274,23.0,699,58.69,70,425,-35.69
07324,TUNUNGUA,BOYACA,Boyacá-Cundi rural,1578,950,628,5,6,230,24.21,645,67.89,9,415,-43.68
52059,SAN JUANITO,META,Llanos petroleros,1358,728,630,18,0,112,15.38,522,71.7,11,410,-56.32
07007,ALMEIDA,BOYACA,Boyacá-Cundi rural,1976,990,986,10,5,235,23.73,641,64.74,21,406,-41.00999999999999
07205,PISBA,BOYACA,Boyacá-Cundi rural,1251,704,547,7,4,126,17.89,492,69.88,10,366,-51.989999999999995
88215,BOLIVIA,CONSULADOS,Exterior (consulados),1818,644,1174,2,0,125,19.4,439,68.16,19,314,-48.76
