codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
12300,CHIMICHAGUA,CESAR,Caribe norte,26186,11657,14529,76,30,4827,41.4,6143,52.69,64,1316,-11.29
54007,EL RETORNO,GUAVIARE,Amazonía,10051,4593,5458,135,28,1305,28.41,2609,56.8,87,1304,-28.389999999999997
15277,TENA,CUNDINAMARCA,Bogotá región,7979,5206,2773,73,17,1576,30.27,2862,54.97,123,1286,-24.7
24029,GUATICA,RISARALDA,Eje cafetero,10843,5760,5083,136,39,1532,26.59,2805,48.69,190,1273,-22.099999999999998
12600,LA GLORIA,CESAR,Caribe norte,11948,6929,5019,85,16,2684,38.73,3945,56.93,45,1261,-18.200000000000003
52055,SAN CARLOS DE GUAROA,META,Llanos petroleros,9898,6038,3860,107,15,1974,32.69,3223,53.37,88,1249,-20.68
15223,SAN BERNARDO,CUNDINAMARCA,Bogotá región,7842,4480,3362,41,10,1349,30.11,2595,57.92,104,1246,-27.810000000000002
31103,TRUJILLO,VALLE,Valle del Cauca,16797,8643,8154,151,37,2863,33.12,4086,47.27,200,1223,-14.150000000000006
07013,BELEN,BOYACA,Boyacá-Cundi rural,7008,4496,2512,69,6,1222,27.17,2430,54.04,162,1208,-26.869999999999997
44004,BELEN DE LOS ANDAQUIES,CAQUETA,Sur Tolima-Huila-Caquetá,8465,4239,4226,91,21,1287,30.36,2490,58.74,44,1203,-28.380000000000003
21070,SAN SEBASTIAN DE BUENAVISTA,MAGDALENA,Caribe norte,18164,8089,10075,72,19,3223,39.84,4425,54.7,36,1202,-14.86
15220,SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,Bogotá región,9533,6263,3270,85,12,1977,31.56,3165,50.53,201,1188,-18.970000000000002
44009,PUERTO RICO,CAQUETA,Sur Tolima-Huila-Caquetá,19878,9917,9961,369,69,3682,37.12,4853,48.93,158,1171,-11.810000000000002
05010,BARRANCO DE LOBA,BOLIVAR,Caribe + Magdalena Medio,13081,5273,7808,43,24,1917,36.35,3084,58.48,19,1167,-22.129999999999995
07163,MUZO,BOYACA,Boyacá-Cundi rural,7509,3934,3575,52,8,1160,29.48,2318,58.92,57,1158,-29.44
01127,FRONTINO,ANTIOQUIA,Antioquia rural uribista,18187,6547,11640,148,36,2033,31.05,3173,48.46,239,1140,-17.41
09127,VICTORIA,CALDAS,Eje cafetero,8387,4504,3883,64,22,1155,25.64,2285,50.73,71,1130,-25.089999999999996
15331,VIOTA,CUNDINAMARCA,Bogotá región,12161,7156,5005,67,13,2554,35.69,3681,51.43,110,1127,-15.740000000000002
12650,PAILITAS,CESAR,Caribe norte,16717,8377,8340,98,24,3360,40.1,4467,53.32,97,1107,-13.219999999999999
31016,BOLIVAR,VALLE,Valle del Cauca,13234,7165,6069,101,15,2275,31.75,3376,47.11,126,1101,-15.36
15211,QUETAME,CUNDINAMARCA,Bogotá región,5896,3929,1967,58,5,1202,30.59,2300,58.53,97,1098,-27.94
12170,ASTREA,CESAR,Caribe norte,17193,8743,8450,58,18,3664,41.9,4758,54.42,32,1094,-12.520000000000003
01274,TITIRIBI,ANTIOQUIA,Antioquia rural uribista,8669,4008,4661,87,23,858,21.4,1933,48.22,191,1075,-26.82
07106,GUATEQUE,BOYACA,Boyacá-Cundi rural,9177,5673,3504,108,9,1827,32.2,2901,51.13,176,1074,-18.93
21042,NUEVA GRANADA,MAGDALENA,Caribe norte,17271,7614,9657,100,27,3055,40.12,4128,54.21,39,1073,-14.090000000000003
24054,MARSELLA,RISARALDA,Eje cafetero,15672,8004,7668,171,44,2757,34.44,3818,47.7,190,1061,-13.260000000000005
07265,SIACHOQUE,BOYACA,Boyacá-Cundi rural,6298,3668,2630,85,13,854,23.28,1880,51.25,94,1026,-27.97
31052,EL DOVIO,VALLE,Valle del Cauca,10555,5161,5394,130,30,1627,31.52,2646,51.26,130,1019,-19.74
03047,SANTA LUCIA,ATLANTICO,Caribe norte,13465,5903,7562,36,20,1596,27.03,2613,44.26,55,1017,-17.229999999999997
07283,SOTAQUIRA,BOYACA,Boyacá-Cundi rural,6270,4128,2142,54,15,1132,27.42,2145,51.96,105,1013,-24.54
28280,SUCRE,SUCRE,Caribe + Magdalena Medio,21493,9626,11867,98,40,3764,39.1,4774,49.59,38,1010,-10.490000000000002
15184,NOCAIMA,CUNDINAMARCA,Bogotá región,5433,3574,1859,35,4,1073,30.02,2080,58.19,90,1007,-28.169999999999998
